T,d,method,method_label,rank,seed_index,seed,rounding_index,sample_objective,best_objective,rounding_elapsed_seconds
20,42,low_rank,LR-SDP r=2,2,1,30201003,1,57.37550777483765,57.37550777483765,9.5367431640625e-7
20,42,low_rank,LR-SDP r=2,2,1,30201003,2,57.37550777483765,57.37550777483765,1.9073486328125e-6
20,42,low_rank,LR-SDP r=2,2,1,30201003,3,57.37550777483765,57.37550777483765,1.9073486328125e-6
20,42,low_rank,LR-SDP r=2,2,2,30202003,1,57.37550777483765,57.37550777483765,9.5367431640625e-7
20,42,low_rank,LR-SDP r=2,2,2,30202003,2,57.37550777483765,57.37550777483765,1.9073486328125e-6
20,42,low_rank,LR-SDP r=2,2,2,30202003,3,53.32256997804623,57.37550777483765,1.9073486328125e-6
20,42,sdp_gw,SDP+GW,,1,40201001,1,57.37550777483765,57.37550777483765,2.86102294921875e-6
20,42,sdp_gw,SDP+GW,,1,40201001,2,57.37550777483765,57.37550777483765,7.867813110351562e-6
20,42,sdp_gw,SDP+GW,,1,40201001,3,57.37550777483765,57.37550777483765,9.059906005859375e-6
